
id	label	sublabel	description	x	y	cluster	weight<Links>	weight<Total  link strength>	weight<No. of pub. (2000-2020)>	score<Avg. pub. year>	weight<absloute no>	weight<relative no>	score<Avg.year.set>
424	424	"lipophilicity; hydrophilic interaction chromatography; reversed phase liquid chromatography; ion chromatography; bed process"	"<table><tr><td>Micro-level field:</td><td>424</td></tr><tr><td>Main fields:</td><td>Physical sciences and engineering</td></tr><tr><td>Sources:</td><td>journal of chromatography a; journal of separation science; analytical chemistry; journal of liquid chromatography & related technologies; chromatographia</td></tr><tr><td>Terms:</td><td>lipophilicity; hydrophilic interaction chromatography; reversed phase liquid chromatography; ion chromatography; bed process</td></tr></table>"	-0,1009	-0,4542	3	2561	229848	17223	2009,454	0	0	0
439	439	"dc sign; dendritic cell development; cross presentation; langerin; plasmacytoid dendritic cell"	"<table><tr><td>Micro-level field:</td><td>439</td></tr><tr><td>Main fields:</td><td>Biomedical and health sciences</td></tr><tr><td>Sources:</td><td>journal of immunology; frontiers in immunology; european journal of immunology; blood; plos one</td></tr><tr><td>Terms:</td><td>dc sign; dendritic cell development; cross presentation; langerin; plasmacytoid dendritic cell</td></tr></table>"	-0,8314	-0,2077	2	2443	812623	16907	2010,3941	0	0	0
440	440	"ionic liquid; bacterial cellulose; dissolution; cellulose nanocrystal; nanocellulose"	"<table><tr><td>Micro-level field:</td><td>440</td></tr><tr><td>Main fields:</td><td>Physical sciences and engineering</td></tr><tr><td>Sources:</td><td>cellulose; carbohydrate polymers; biomacromolecules; journal of applied polymer science; bioresources</td></tr><tr><td>Terms:</td><td>ionic liquid; bacterial cellulose; dissolution; cellulose nanocrystal; nanocellulose</td></tr></table>"	0,3564	-0,4857	3	2659	414224	16890	2014,4963	0	0	0
457	457	"serotonin syndrome; selective serotonin reuptake inhibitor; ht1a receptor; citalopram; milnacipran"	"<table><tr><td>Micro-level field:</td><td>457</td></tr><tr><td>Main fields:</td><td>Biomedical and health sciences</td></tr><tr><td>Sources:</td><td>psychopharmacology; european journal of pharmacology; neuropharmacology; bioorganic & medicinal chemistry letters; brain research</td></tr><tr><td>Terms:</td><td>serotonin syndrome; selective serotonin reuptake inhibitor; ht1a receptor; citalopram; milnacipran</td></tr></table>"	-0,7287	0,0179	2	2388	407403	16723	2008,3659	2	0,000119595766309873	2008
459	459	"species distribution model; citizen science; giant panda; maxent; ecological niche"	"<table><tr><td>Micro-level field:</td><td>459</td></tr><tr><td>Main fields:</td><td>Life and earth sciences</td></tr><tr><td>Sources:</td><td>biological conservation; plos one; conservation biology; biodiversity and conservation; diversity and distributions</td></tr><tr><td>Terms:</td><td>species distribution model; citizen science; giant panda; maxent; ecological niche</td></tr></table>"	-0,1994	-0,1283	4	2600	607633	16717	2013,847	0	0	0
473	473	"grid environment; provenance; computational grid; grid; data grid"	"<table><tr><td>Micro-level field:</td><td>473</td></tr><tr><td>Main fields:</td><td>Mathematics and computer science</td></tr><tr><td>Sources:</td><td>lecture notes in computer science; future generation computer systems-the international journal of escience; concurrency and computation-practice & experience; journal of parallel and distributed computing; ieee transactions on parallel and distributed systems</td></tr><tr><td>Terms:</td><td>grid environment; provenance; computational grid; grid; data grid</td></tr></table>"	0,7155	0,5867	5	2423	85609	16525	2009,4868	0	0	0
475	475	"asphalt binder; bituman; effect; property; rheological property"	"<table><tr><td>Micro-level field:</td><td>475</td></tr><tr><td>Main fields:</td><td>Physical sciences and engineering</td></tr><tr><td>Sources:</td><td>construction and building materials; transportation research record; road materials and pavement design; journal of materials in civil engineering; international journal of pavement engineering</td></tr><tr><td>Terms:</td><td>asphalt binder; bituman; effect; property; rheological property</td></tr></table>"	0,65	-0,1701	3	2179	65186	16517	2014,1977	0	0	0
524	524	"progesterone receptor; fulvestrant; g protein; nuclear receptor; gper"	"<table><tr><td>Micro-level field:</td><td>524</td></tr><tr><td>Main fields:</td><td>Biomedical and health sciences</td></tr><tr><td>Sources:</td><td>journal of steroid biochemistry and molecular biology; endocrinology; molecular endocrinology; journal of biological chemistry; molecular and cellular endocrinology</td></tr><tr><td>Terms:</td><td>progesterone receptor; fulvestrant; g protein; nuclear receptor; gper</td></tr></table>"	-0,8248	-0,1844	2	2391	543564	16011	2008,7709	0	0	0
540	540	"fast motion estimation; hevc; intra prediction; high efficiency video coding; fast mode decision algorithm"	"<table><tr><td>Micro-level field:</td><td>540</td></tr><tr><td>Main fields:</td><td>Mathematics and computer science</td></tr><tr><td>Sources:</td><td>ieee international conference on image processing icip; ieee transactions on circuits and systems for video technology; proceedings of spie; lecture notes in computer science; ieee international symposium on circuits and systems</td></tr><tr><td>Terms:</td><td>fast motion estimation; hevc; intra prediction; high efficiency video coding; fast mode decision algorithm</td></tr></table>"	0,7297	0,4907	5	1760	54068	15843	2010,2972	0	0	0
556	556	"security; securitization; geopolitic; political geography; territory"	"<table><tr><td>Micro-level field:</td><td>556</td></tr><tr><td>Main fields:</td><td>Social sciences and humanities</td></tr><tr><td>Sources:</td><td>environment and planning d-society & space; political geography; progress in human geography; social & cultural geography; geopolitics</td></tr><tr><td>Terms:</td><td>security; securitization; geopolitic; political geography; territory</td></tr></table>"	-0,2087	0,8722	1	1835	171795	15715	2013,5217	0	0	0
