id	label	description	x	y	cluster	weight
1304	1304	"<table><tr><td>Micro-level field;</td><td>1304</td></tr><tr><td>Main fields;</td><td>Mathematics and computer science</td></tr><tr><td>Sources;</td><td>lecture notes in computer science; ieee international conference on communications; ieee global communications conference; ieee access; ieee infocom</td></tr><tr><td>Terms;</td><td>information centric network; named data; content centric; ndn; icn</td></tr></table>"	0.7463	0.5886	5	867
486	486	"<table><tr><td>Micro-level field;</td><td>486</td></tr><tr><td>Main fields;</td><td>Physical sciences and engineering</td></tr><tr><td>Sources;</td><td>journal of applied polymer science; materials science & engineering c-materials for biological applications; rsc advances; polymer; materials letters</td></tr><tr><td>Terms;</td><td>nanofiber; electrospinning; electrospun poly; nanofibrous membrane</td></tr></table>"	0.3358	-0.4481	3	832
444	444	"<table><tr><td>Micro-level field;</td><td>444</td></tr><tr><td>Main fields;</td><td>Mathematics and computer science</td></tr><tr><td>Sources;</td><td>international conference on acoustics speech and signal processing icassp; proceedings of spie; ieee transactions on signal processing; ieee transactions on information theory; ieee international conference on image processing icip</td></tr><tr><td>Terms;</td><td>compressive sensing; sensing; compressed; sparse signal; sparse recovery</td></tr></table>"	0.7412	0.4056	5	826
110	110	"<table><tr><td>Micro-level field;</td><td>110</td></tr><tr><td>Main fields;</td><td>Biomedical and health sciences; Life and earth sciences</td></tr><tr><td>Sources;</td><td>antimicrobial agents and chemotherapy; journal of clinical microbiology; journal of antimicrobial chemotherapy; plos one; infection control and hospital epidemiology</td></tr><tr><td>Terms;</td><td>staphylococcus; nasal carriage; panton valentine leukocidin; methicillin resistant staphylococcus aureus strain; staphylococcal enterotoxin</td></tr></table>"	-0.5869	-0.2601	2	813
17	17	"<table><tr><td>Micro-level field;</td><td>17</td></tr><tr><td>Main fields;</td><td>Physical sciences and engineering</td></tr><tr><td>Sources;</td><td>applied physics letters; thin solid films; applied surface science; journal of applied physics; journal of alloys and compounds</td></tr><tr><td>Terms;</td><td>ito film; zinc oxide thin film; indium tin oxide film; zno nanorod array; zno nanowires</td></tr></table>"	0.7385	-0.5172	3	795
950	950	"<table><tr><td>Micro-level field;</td><td>950</td></tr><tr><td>Main fields;</td><td>Mathematics and computer science</td></tr><tr><td>Sources;</td><td>ieee vehicular technology conference; ieee transactions on vehicular technology; ieee transactions on intelligent transportation systems; ieee international conference on communications; ieee access</td></tr><tr><td>Terms;</td><td>vanets; vehicular network; vehicle; dsrc</td></tr></table>"	0.7586	0.5705	5	794
872	872	"<table><tr><td>Micro-level field;</td><td>872</td></tr><tr><td>Main fields;</td><td>Mathematics and computer science; Biomedical and health sciences</td></tr><tr><td>Sources;</td><td>neural computation; lecture notes in computer science; neurocomputing; ieee international joint conference on neural networks (ijcnn); physical review e</td></tr><tr><td>Terms;</td><td>spiking neural network; echo state network; criticality; spike timing dependent plasticity; pulse</td></tr></table>"	0.1903	0.2938	5	780
1355	1355	"<table><tr><td>Micro-level field;</td><td>1355</td></tr><tr><td>Main fields;</td><td>Biomedical and health sciences; Life and earth sciences</td></tr><tr><td>Sources;</td><td>chemical senses; physiology & behavior; food quality and preference; journal of agricultural and food chemistry; journal of sensory studies</td></tr><tr><td>Terms;</td><td>aspartame; monosodium glutamate; artificial sweetener; sweetener; bitter taste receptor</td></tr></table>"	-0.648	-0.0662	2	748
392	392	"<table><tr><td>Micro-level field;</td><td>392</td></tr><tr><td>Main fields;</td><td>Mathematics and computer science</td></tr><tr><td>Sources;</td><td>lecture notes in computer science; future generation computer systems-the international journal of escience; communications in computer and information science; international conference on cloud computing technology and science; ieee international conference on cloud computing</td></tr><tr><td>Terms;</td><td>cloud data center; virtual machine placement; live migration; cloud application; web server</td></tr></table>"	0.703	0.5915	5	729
196	196	"<table><tr><td>Micro-level field;</td><td>196</td></tr><tr><td>Main fields;</td><td>Mathematics and computer science</td></tr><tr><td>Sources;</td><td>international conference on indoor positioning and indoor navigation; sensors; lecture notes in computer science; ieee vehicular technology conference; international conference on acoustics speech and signal processing icassp</td></tr><tr><td>Terms;</td><td>localization; indoor positioning; wireless sensor network; smartphone; rssi</td></tr></table>"	0.7529	0.4833	5	672
83	83	"<table><tr><td>Micro-level field;</td><td>83</td></tr><tr><td>Main fields;</td><td>Life and earth sciences; Physical sciences and engineering</td></tr><tr><td>Sources;</td><td>bioresource technology; applied biochemistry and biotechnology; biotechnology for biofuels; applied microbiology and biotechnology; bioresources</td></tr><tr><td>Terms;</td><td>ethanol production; endoglucanase; enzymatic hydrolysis; enzymatic saccharification; beta glucosidase</td></tr></table>"	-0.1872	-0.3799	4	608
637	637	"<table><tr><td>Micro-level field;</td><td>637</td></tr><tr><td>Main fields;</td><td>Physical sciences and engineering</td></tr><tr><td>Sources;</td><td>physical review b; applied physics letters; journal of applied physics; ieee transactions on magnetics; journal of magnetism and magnetic materials</td></tr><tr><td>Terms;</td><td>skyrmion; stt mram; magnetic skyrmion; spin orbit torque; dzyaloshinskii moriya interaction</td></tr></table>"	0.8412	-0.5059	3	573
66	66	"<table><tr><td>Micro-level field;</td><td>66</td></tr><tr><td>Main fields;</td><td>Physical sciences and engineering</td></tr><tr><td>Sources;</td><td>journal of physical chemistry c; nano letters; proceedings of spie; journal of the american chemical society; acs nano</td></tr><tr><td>Terms;</td><td>quantum dot; cdse nanocrystal; diode; semiconductor quantum dot; zns nanoparticle</td></tr></table>"	0.646	-0.5371	3	551
2904	2904	"<table><tr><td>Micro-level field;</td><td>2904</td></tr><tr><td>Main fields;</td><td>Mathematics and computer science; Physical sciences and engineering</td></tr><tr><td>Sources;</td><td>international journal of electrical power & energy systems; ieee transactions on power systems; iet generation transmission & distribution; electric power components and systems; energies</td></tr><tr><td>Terms;</td><td>automatic generation control; load frequency control; agc; hydro turbine; lfc</td></tr></table>"	0.8533	0.2606	5	505
299	299	"<table><tr><td>Micro-level field;</td><td>299</td></tr><tr><td>Main fields;</td><td>Physical sciences and engineering</td></tr><tr><td>Sources;</td><td>carbon; composites science and technology; journal of applied polymer science; polymer; journal of nanoscience and nanotechnology</td></tr><tr><td>Terms;</td><td>rheological; melt; dispersion; reinforcement; poly</td></tr></table>"	0.6026	-0.4623	3	499
1324	1324	"<table><tr><td>Micro-level field;</td><td>1324</td></tr><tr><td>Main fields;</td><td>Physical sciences and engineering</td></tr><tr><td>Sources;</td><td>ferroelectrics; journal of molecular structure; physics of the solid state; journal of physics-condensed matter; physical review b</td></tr><tr><td>Terms;</td><td>structural phase transition; seo4; ferroelectric; nh4; molecular motion</td></tr></table>"	0.631	-0.6005	3	489
1969	1969	"<table><tr><td>Micro-level field;</td><td>1969</td></tr><tr><td>Main fields;</td><td>Mathematics and computer science</td></tr><tr><td>Sources;</td><td>ieee international conference on communications; ieee transactions on information forensics and security; ieee international symposium on information theory; ieee transactions on wireless communications; ieee access</td></tr><tr><td>Terms;</td><td>secret key generation; secure communication; physical layer security; artificial noise; mimo wiretap channel</td></tr></table>"	0.8336	0.529	5	486
