id	label	description	x	y	cluster	weight
364	364	"<table><tr><td>Micro-level field;</td><td>364</td></tr><tr><td>Main fields;</td><td>Physical sciences and engineering</td></tr><tr><td>Sources;</td><td>proceedings of spie; mechanical systems and signal processing; journal of sound and vibration; structural control & health monitoring; engineering structures</td></tr><tr><td>Terms;</td><td>damage detection; structural health monitoring; structural damage identification; output; operational modal analysis</td></tr></table>"	0.7863	-0.0724	3	17
1135	1135	"<table><tr><td>Micro-level field;</td><td>1135</td></tr><tr><td>Main fields;</td><td>Mathematics and computer science</td></tr><tr><td>Sources;</td><td>international conference on unmanned aircraft systems; ieee international conference on robotics and automation icra; journal of intelligent & robotic systems; ieee international conference on intelligent robots and systems; proceedings of the american control conference</td></tr><tr><td>Terms;</td><td>quadrotor; helicopter; quadrotor unmanned aerial vehicle; autonomous landing; twin rotor mimo system</td></tr></table>"	0.7706	0.3389	5	17
839	839	"<table><tr><td>Micro-level field;</td><td>839</td></tr><tr><td>Main fields;</td><td>Physical sciences and engineering; Biomedical and health sciences</td></tr><tr><td>Sources;</td><td>proceedings of spie; optics express; biophysical journal; scientific reports; journal of physical chemistry b</td></tr><tr><td>Terms;</td><td>single molecule; fluorescence correlation spectroscopy; super resolution microscopy; light sheet microscopy; single molecule localization microscopy</td></tr></table>"	0.026	-0.3668	3	17
2586	2586	"<table><tr><td>Micro-level field;</td><td>2586</td></tr><tr><td>Main fields;</td><td>Biomedical and health sciences</td></tr><tr><td>Sources;</td><td>epilepsia; journal of cerebral blood flow and metabolism; epilepsy research; journal of neurochemistry; journal of neuroscience research</td></tr><tr><td>Terms;</td><td>ketogenic diet; monocarboxylate transporter; lactate; deficiency syndrome; ketone body</td></tr></table>"	-0.7697	-0.1032	2	17
334	334	"<table><tr><td>Micro-level field;</td><td>334</td></tr><tr><td>Main fields;</td><td>Life and earth sciences; Biomedical and health sciences</td></tr><tr><td>Sources;</td><td>archives of virology; acta horticulturae; virology; journal of virology; plant disease</td></tr><tr><td>Terms;</td><td>resistance; india; tomato; potato virus; plum pox virus</td></tr></table>"	-0.3912	-0.307	4	16
349	349	"<table><tr><td>Micro-level field;</td><td>349</td></tr><tr><td>Main fields;</td><td>Biomedical and health sciences</td></tr><tr><td>Sources;</td><td>stem cell research & therapy; cytotherapy; stem cells; stem cells and development; stem cells international</td></tr><tr><td>Terms;</td><td>mesenchymal stromal cell; derived stem cells; human adipose; immunomodulatory effect; umbilical cord</td></tr></table>"	-0.8518	-0.1368	2	16
52	52	"<table><tr><td>Micro-level field;</td><td>52</td></tr><tr><td>Main fields;</td><td>Physical sciences and engineering</td></tr><tr><td>Sources;</td><td>applied catalysis b-environmental; applied surface science; rsc advances; international journal of hydrogen energy; journal of materials chemistry a</td></tr><tr><td>Terms;</td><td>graphitic carbon nitride; c3n4; bi2wo6; z scheme; biocl</td></tr></table>"	0.6144	-0.5614	3	15
998	998	"<table><tr><td>Micro-level field;</td><td>998</td></tr><tr><td>Main fields;</td><td>Life and earth sciences; Physical sciences and engineering</td></tr><tr><td>Sources;</td><td>ieee international symposium on geoscience and remote sensing igarss; journal of geophysical research-oceans; journal of physical oceanography; ocean engineering; ieee transactions on geoscience and remote sensing</td></tr><tr><td>Terms;</td><td>sea surface; significant wave height; sar; sentinel; synthetic aperture radar</td></tr></table>"	0.4067	0.0232	4	15
1141	1141	"<table><tr><td>Micro-level field;</td><td>1141</td></tr><tr><td>Main fields;</td><td>Life and earth sciences</td></tr><tr><td>Sources;</td><td>ieee international symposium on geoscience and remote sensing igarss; journal of atmospheric and oceanic technology; journal of hydrometeorology; journal of hydrology; ieee transactions on geoscience and remote sensing</td></tr><tr><td>Terms;</td><td>raindrop size distribution; gpm; rainfall estimation; precipitation product; weather radar</td></tr></table>"	0.3181	0.0262	4	15
837	837	"<table><tr><td>Micro-level field;</td><td>837</td></tr><tr><td>Main fields;</td><td>Physical sciences and engineering; Mathematics and computer science</td></tr><tr><td>Sources;</td><td>journal of power sources; journal of the electrochemical society; energies; journal of energy storage; applied energy</td></tr><tr><td>Terms;</td><td>lithium ion battery; charge estimation; state; lithium; charge</td></tr></table>"	0.7811	0.0332	3	15
1082	1082	"<table><tr><td>Micro-level field;</td><td>1082</td></tr><tr><td>Main fields;</td><td>Physical sciences and engineering</td></tr><tr><td>Sources;</td><td>engineering structures; earthquake engineering & structural dynamics; journal of sound and vibration; structural control & health monitoring; proceedings of spie</td></tr><tr><td>Terms;</td><td>mass damper; inerter; semi active control; seismic protection; viscoelastic damper</td></tr></table>"	0.7854	-0.0737	3	14
1263	1263	"<table><tr><td>Micro-level field;</td><td>1263</td></tr><tr><td>Main fields;</td><td>Mathematics and computer science</td></tr><tr><td>Sources;</td><td>ieee transactions on power delivery; international journal of electrical power & energy systems; iet generation transmission & distribution; electric power systems research; ieee power and energy society general meeting pesgm</td></tr><tr><td>Terms;</td><td>transmission line; fault location; optimal coordination; distance protection; protection scheme</td></tr></table>"	0.8459	0.2364	5	14
