label	sublabel	description	x	y	cluster	weight
"support vector regression; squares support vector machine; vector machine; square; ls svm"	109	"<table><tr><td>Micro-level field;</td><td>920</td></tr><tr><td>Main fields;</td><td>Mathematics and computer science</td></tr><tr><td>Sources;</td><td>lecture notes in computer science; neurocomputing; ieee international joint conference on neural networks (ijcnn); journal of machine learning research; advances in neural information processing systems</td></tr><tr><td>Terms;</td><td>support vector regression; squares support vector machine; vector machine; square; ls svm</td></tr></table>"	0.6163	0.456	5	109
"mesoporous silica nanoparticle; polymeric micelle; micelle; hpma copolymer; anticancer drug delivery"	107	"<table><tr><td>Micro-level field;</td><td>232</td></tr><tr><td>Main fields;</td><td>Physical sciences and engineering; Biomedical and health sciences</td></tr><tr><td>Sources;</td><td>journal of controlled release; biomaterials; international journal of pharmaceutics; acs applied materials & interfaces; journal of materials chemistry b</td></tr><tr><td>Terms;</td><td>mesoporous silica nanoparticle; polymeric micelle; micelle; hpma copolymer; anticancer drug delivery</td></tr></table>"	-0.2798	-0.4152	3	107
"ascidiacea; cirripedia; crassostrea gigas; tunicata; rhizocephala"	105	"<table><tr><td>Micro-level field;</td><td>234</td></tr><tr><td>Main fields;</td><td>Life and earth sciences</td></tr><tr><td>Sources;</td><td>marine ecology progress series; journal of shellfish research; journal of experimental marine biology and ecology; marine biology; aquaculture</td></tr><tr><td>Terms;</td><td>ascidiacea; cirripedia; crassostrea gigas; tunicata; rhizocephala</td></tr></table>"	-0.1303	-0.1522	4	105
"thin film transistor; igzo; amorphous indium gallium zinc oxide thin film transistor; igzo tfts"	99	"<table><tr><td>Micro-level field;</td><td>1450</td></tr><tr><td>Main fields;</td><td>Physical sciences and engineering; Mathematics and computer science</td></tr><tr><td>Sources;</td><td>applied physics letters; ieee electron device letters; ieee transactions on electron devices; japanese journal of applied physics; thin solid films</td></tr><tr><td>Terms;</td><td>thin film transistor; igzo; amorphous indium gallium zinc oxide thin film transistor; igzo tfts</td></tr></table>"	0.7406	-0.5168	3	99
"ybco coated conductor; fault current limiter; hts coil; liquid nitrogen; ac loss"	98	"<table><tr><td>Micro-level field;</td><td>558</td></tr><tr><td>Main fields;</td><td>Physical sciences and engineering; Mathematics and computer science</td></tr><tr><td>Sources;</td><td>ieee transactions on applied superconductivity; physica c-superconductivity and its applications; superconductor science & technology; journal of physics conference series; journal of superconductivity and novel magnetism</td></tr><tr><td>Terms;</td><td>ybco coated conductor; fault current limiter; hts coil; liquid nitrogen; ac loss</td></tr></table>"	0.9184	-0.4384	3	98
"secure communication; chaos synchronization; chaotic system; unknown parameter; mode control"	96	"<table><tr><td>Micro-level field;</td><td>189</td></tr><tr><td>Main fields;</td><td>Physical sciences and engineering; Mathematics and computer science</td></tr><tr><td>Sources;</td><td>international journal of bifurcation and chaos; chaos solitons & fractals; physical review e; nonlinear dynamics; acta physica sinica</td></tr><tr><td>Terms;</td><td>secure communication; chaos synchronization; chaotic system; unknown parameter; mode control</td></tr></table>"	0.8567	0.225	3	96
"supercapacitor; high performance supercapacitor; graphene; electrode material; carbon"	94	"<table><tr><td>Micro-level field;</td><td>71</td></tr><tr><td>Main fields;</td><td>Physical sciences and engineering</td></tr><tr><td>Sources;</td><td>electrochimica acta; journal of power sources; journal of materials chemistry a; rsc advances; journal of alloys and compounds</td></tr><tr><td>Terms;</td><td>supercapacitor; high performance supercapacitor; graphene; electrode material; carbon</td></tr></table>"	0.6443	-0.5278	3	94
"greater sage grouse; wind farm; wind turbine; lesser prairie chicken; vascular flora"	92	"<table><tr><td>Micro-level field;</td><td>3367</td></tr><tr><td>Main fields;</td><td>Life and earth sciences</td></tr><tr><td>Sources;</td><td>journal of wildlife management; wildlife society bulletin; plos one; biological conservation; condor</td></tr><tr><td>Terms;</td><td>greater sage grouse; wind farm; wind turbine; lesser prairie chicken; vascular flora</td></tr></table>"	-0.1666	-0.1072	4	92
"thermal barrier coating; cold spray; zirconia; yttria; atmospheric plasma"	78	"<table><tr><td>Micro-level field;</td><td>800</td></tr><tr><td>Main fields;</td><td>Physical sciences and engineering</td></tr><tr><td>Sources;</td><td>surface & coatings technology; journal of thermal spray technology; ceramics international; journal of the european ceramic society; materials science and engineering a-structural materials properties microstructure and processing</td></tr><tr><td>Terms;</td><td>thermal barrier coating; cold spray; zirconia; yttria; atmospheric plasma</td></tr></table>"	0.7966	-0.4044	3	78
"cyanide; anion receptor; calix4pyrrole; boronic acid; anion binding"	76	"<table><tr><td>Micro-level field;</td><td>910</td></tr><tr><td>Main fields;</td><td>Physical sciences and engineering</td></tr><tr><td>Sources;</td><td>chemical communications; tetrahedron letters; journal of the american chemical society; chemistry-a european journal; journal of organic chemistry</td></tr><tr><td>Terms;</td><td>cyanide; anion receptor; calix4pyrrole; boronic acid; anion binding</td></tr></table>"	0.2505	-0.6331	3	76
