nuts2	country_iso_alpha3_code	cluster_id1	counts
UKG2	GBR	14	2
ITF1	ITA	1083	44
CH01	CHE	14	6
RO12	ROU	337	85
SK04	SVK	530	26
DEA4	DEU	632	9
UKD4	GBR	920	1
NL41	NLD	336	4
RO11	ROU	1332	5
PL71	POL	765	10
TRB1	TUR	1322	1
NO08	NOR	639	204
UKC1	GBR	1284	13
TR10	TUR	3396	39
ITF3	ITA	1576	65
DED5	DEU	182	27
AT31	AUT	394	18
DE92	DEU	2334	6
DEA2	DEU	1083	14
BE10	BEL	278	61
ES21	ESP	639	1651
UKC2	GBR	530	74
TR52	TUR	1332	21
TR31	TUR	299	1
NL41	NLD	381	64
SI04	SVN	953	12
FRE2	FRA	381	4
PT11	PRT	760	100
ITF3	ITA	278	75
DK01	DNK	796	4
ITC4	ITA	1891	768
ES43	ESP	530	100
DE22	DEU	1615	15
DEF0	DEU	2204	10
FRH0	FRA	299	1
DEA4	DEU	340	6
CH04	CHE	654	12
PL63	POL	2184	24
BE24	BEL	530	46
FRJ2	FRA	3481	36
UKF1	GBR	204	6
DK04	DNK	1083	31
ITF3	ITA	760	185
DEA5	DEU	1576	330
ITI4	ITA	444	72
BE33	BEL	278	80
AT31	AUT	857	30
ES12	ESP	857	42
PL41	POL	1738	3
NO06	NOR	1083	53
DE14	DEU	897	14
UKL2	GBR	1027	2
ES51	ESP	920	7
ES42	ESP	1175	28
DE30	DEU	1440	2
DE73	DEU	1738	2
UKK1	GBR	182	74
UKJ4	GBR	530	2
SE23	SWE	2079	2
UKC2	GBR	784	2
ITI3	ITA	662	20
DK01	DNK	530	543
DEA1	DEU	337	90
DE21	DEU	2334	4
FRF1	FRA	1450	32
FRK2	FRA	28	2
ITH3	ITA	1576	30
ES41	ESP	530	38
FRH0	FRA	337	10
DE92	DEU	1897	12
DED2	DEU	14	1
UKG2	GBR	1576	280
ES24	ESP	1332	9
DEB3	DEU	760	2
DEA2	DEU	897	8
BG41	BGR	1332	18
UKJ4	GBR	1185	16
DE12	DEU	1492	1
PL51	POL	1553	12
AT12	AUT	182	9
ES62	ESP	662	290
ES30	ESP	784	36
FRL0	FRA	393	69
FRI3	FRA	1332	19
NL31	NLD	1738	49
BE21	BEL	1289	4
ITH3	ITA	182	55
FRK1	FRA	2854	6
PT17	PRT	278	20
UKH2	GBR	3389	2
TR10	TUR	2204	2
IE06	IRL	1897	328
TR31	TUR	662	12
EE00	EST	376	8
FRG0	FRA	182	4
DE14	DEU	530	36
PT11	PRT	1345	6
TR33	TUR	1332	18
ES61	ESP	1440	10
ES30	ESP	1468	290
BE10	BEL	1120	3
FRK1	FRA	772	2
BE25	BEL	1718	2
UKE3	GBR	677	26
UKF1	GBR	1120	4
UKI3	GBR	1247	1
TRB1	TUR	1450	6
UKJ2	GBR	1284	1
UKD7	GBR	632	20
CH04	CHE	760	116
PT11	PRT	381	22
DK05	DNK	1468	12
DEA5	DEU	1891	8
UKM8	GBR	897	8
ITI1	ITA	2184	1
UKH2	GBR	2736	2
ES24	ESP	1605	602
ITC1	ITA	376	244
ES30	ESP	340	38
ITH3	ITA	448	10
FRK2	FRA	677	229
FRF1	FRA	2022	40
ITF3	ITA	1139	11
ITH2	ITA	1332	1035
CH04	CHE	3389	14
BE10	BEL	448	28
CZ03	CZE	1139	4
FRK2	FRA	340	2
ES61	ESP	393	37
UKG3	GBR	1083	10
NO08	NOR	337	15
DE14	DEU	784	8
RS11	SRB	337	11
BE21	BEL	534	1
ITF5	ITA	1152	6
DE72	DEU	14	6
ITH5	ITA	1185	114
